method,stage,seed,class,threshold,precision,recall,f1,support
oversampling,pre,42,0,0.35,0.8888888888888888,0.8888888888888888,0.8888888888888888,45
oversampling,pre,42,1,0.35,0.9090909090909091,0.9090909090909091,0.9090909090909091,55
oversampling,post,42,0,0.35,0.9285714285714286,0.8666666666666667,0.896551724137931,45
oversampling,post,42,1,0.35,1.0,0.8181818181818182,0.9,55
