method,stage,seed,class,threshold,precision,recall,f1,support
smote,pre,42,0,0.2,0.8888888888888888,0.8888888888888888,0.8888888888888888,45
smote,pre,42,1,0.2,0.9090909090909091,0.9090909090909091,0.9090909090909091,55
smote,post,42,0,0.2,1.0,0.6222222222222222,0.7671232876712328,45
smote,post,42,1,0.2,1.0,0.5636363636363636,0.7209302325581396,55
