method,stage,seed,class,threshold,precision,recall,f1,support
oversampling,pre,42,0,0.15,0.8888888888888888,0.8888888888888888,0.8888888888888888,45
oversampling,pre,42,1,0.15,0.9090909090909091,0.9090909090909091,0.9090909090909091,55
oversampling,post,42,0,0.15,1.0,0.5555555555555556,0.7142857142857143,45
oversampling,post,42,1,0.15,1.0,0.4909090909090909,0.6585365853658536,55
